inc,ux,uy 
1,-0.000901,0.000712 
2,-0.000210,0.006008 
3,0.000399,0.014722 
4,0.004769,0.023769 
5,0.015183,0.032878 
6,0.030322,0.039216 
7,0.042542,0.045910 
8,0.051188,0.052102 
9,0.057269,0.060326 
10,0.060942,0.069079 
11,0.064096,0.079788 
12,0.067283,0.093787 
13,0.071158,0.113590 
14,0.075468,0.139638 
15,0.081446,0.172606 
16,0.089239,0.213374 
17,0.094772,0.252697 
18,0.101173,0.296833 
19,0.108354,0.341479 
20,0.114308,0.388200 
21,0.120071,0.435238 
22,0.125926,0.482615 
23,0.131214,0.529891 
24,0.136195,0.579721 
25,0.140609,0.628663 
26,0.145749,0.676922 
27,0.149425,0.727013 
28,0.154547,0.778968 
29,0.157818,0.827679 
30,0.162395,0.877487 
31,0.165266,0.929540 
32,0.169445,0.980434 
33,0.172458,1.031273 
34,0.175704,1.082197 
35,0.178819,1.133227 
36,0.181738,1.185011 
37,0.184227,1.236672 
38,0.187418,1.288529 
39,0.189419,1.339781 
40,0.191884,1.392812 
41,0.194383,1.444317 
42,0.196936,1.495232 
43,0.198517,1.547536 
44,0.200495,1.600249 
45,0.202528,1.652677 
46,0.204311,1.704584 
47,0.206843,1.757038 
48,0.208129,1.810106 
49,0.209806,1.862033 
50,0.211135,1.913968 
51,0.212114,1.967195 
52,0.213627,2.019584 
53,0.214594,2.072367 
54,0.216483,2.126150 
55,0.216703,2.178343 
56,0.218133,2.230646 
57,0.218953,2.283789 
58,0.219535,2.336910 
59,0.220022,2.389881 
60,0.220692,2.443001 
61,0.221547,2.495923 
62,0.222419,2.549157 
63,0.222776,2.602487 
64,0.223393,2.656126 
65,0.223406,2.709307 
66,0.224577,2.761636 
67,0.224210,2.816521 
68,0.224171,2.869973 
69,0.225182,2.924148 
70,0.224872,2.976955 
71,0.225153,3.031271 
72,0.225204,3.084905 
73,0.224856,3.139017 
74,0.224151,3.191943 
75,0.224820,3.246903 
76,0.225206,3.301296 
77,0.223957,3.354060 
78,0.225271,3.409194 
79,0.224388,3.463843 
80,0.225026,3.518397 
81,0.224999,3.572304 
82,0.224675,3.625881 
83,0.224539,3.681697 
84,0.224409,3.736896 
85,0.224398,3.791005 
86,0.224557,3.845433 
87,0.224339,3.900583 
88,0.224096,3.955943 
89,0.223990,4.010422 
90,0.224165,4.066799 
91,0.223985,4.121647 
92,0.223774,4.176656 
93,0.223672,4.231584 
94,0.223575,4.286850 
95,0.223268,4.342568 
96,0.224376,4.398267 
97,0.224054,4.453612 
98,0.223025,4.509754 
99,0.223626,4.565804 
100,0.222951,4.621140 
101,0.223512,4.678235 
102,0.223334,4.733750 
103,0.222619,4.789959 
104,0.223010,4.845799 
105,0.223091,4.902320 
106,0.222868,4.958506 
107,0.222542,5.015148 
108,0.222818,5.071684 
109,0.222464,5.128423 
110,0.222720,5.185372 
111,0.222902,5.241897 
112,0.223165,5.299016 
113,0.222995,5.355860 
114,0.223219,5.412970 
115,0.223623,5.469629 
116,0.222903,5.526961 
117,0.223705,5.584129 
118,0.224091,5.641439 
119,0.224069,5.698470 
120,0.224261,5.756866 
121,0.224004,5.812455 
122,0.225591,5.871172 
123,0.224507,5.928671 
124,0.224777,5.986471 
125,0.225372,6.044408 
126,0.225231,6.102581 
127,0.225360,6.160387 
128,0.225654,6.218300 
129,0.226108,6.276316 
130,0.226060,6.334837 
131,0.226578,6.392824 
132,0.227507,6.451659 
133,0.227048,6.510025 
134,0.227398,6.568233 
135,0.228014,6.626938 
136,0.228479,6.684874 
137,0.228581,6.742584 
138,0.229313,6.800633 
139,0.228818,6.860557 
140,0.230056,6.919166 
141,0.230962,6.977797 
142,0.230964,7.036794 
143,0.231766,7.096599 
144,0.232087,7.154813 
145,0.232470,7.213913 
146,0.232577,7.273422 
147,0.233428,7.333191 
